name,source,gender,wikidata,type
"Emile en Dora Rommelaerestraat",wikidata,+,Q4502896;Q21638499,way
"Arnoldine Van Den Radestraat",wikidata,F,Q84859467,way
"Christine D'haenstraat",wikidata,F,Q3224383,way
"Eleonora Verbekehof",wikidata,F,Q90413160,way
"Elisabeth Zorghestraat",wikidata,F,Q25711497,way
"Kathelijne Idestraat",wikidata,F,Q84858520,way
"Koningin Astridlaan",wikidata,F,Q230238,way
"Maaike Kerrebroeckstraat",wikidata,F,Q84857486,way
"Maaike Luuxstraat",wikidata,F,Q84858218,way
"Magda Cafmeyerstraat",wikidata,F,Q1990109,way
"Margaretha van Oostenrijkstraat",wikidata,F,Q157100,way
"Marguerite Yourcenarstraat",wikidata,F,Q163118,way
"Maria Van Bourgondiëlaan",wikidata,F,Q157073,way
"Maria van Bourgondiëlaan",wikidata,F,Q157073,way
Mariastraat,wikidata,F,Q345,way
"Petronilla van Outryvestraat",wikidata,F,Q48223900,way
"Prinses Lilianelaan",wikidata,F,Q234171,way
Sint-Annaplein,wikidata,F,Q164294,way
Sint-Annarei,wikidata,F,Q164294,way
Sint-Katarinastraat,wikidata,F,Q179718,way
"Suzanne de Gieystraat",wikidata,F,Q17351327,way
"Achiel Van Ackerplein",wikidata,M,Q14997,way
"Admiraal Keyesplein",wikidata,M,Q333787,way
"Adriaan Willaertstraat",wikidata,M,Q312615,way
"Albert Dyserynckstraat",wikidata,M,Q2831142,way
"Albert Serreynstraat",wikidata,M,Q84960176,way
"Albrecht Rodenbachstraat",wikidata,M,Q2497011,way
"Alfons Wybolaan",wikidata,M,Q100354638,way
"Amaat Vynckestraat",wikidata,M,Q3421496,way
"André Goossensstraat",wikidata,M,Q47074882,way
"Andreas Wydtsstraat",wikidata,M,Q81314563,way
"Antoon Viaenestraat",wikidata,M,Q2072506,way
"August Derrestraat",wikidata,M,Q84958220,way
"Baron Joseph Ryelandtstraat",wikidata,M,Q1707941,way
"Burgemeester Albin Van Renterghemstraat",wikidata,M,Q2001263,way
"Cesar Gezellestraat",wikidata,M,Q2154331,way
"Collaert Mansionstraat",wikidata,M,Q2749736,way
"Cornelis De Moorstraat",wikidata,M,Q81314570,way
"Dirk Boutsstraat",wikidata,M,Q313561,way
"Dirk Martensstraat",wikidata,M,Q240649,way
"Edgar Tinelstraat",wikidata,M,Q377071,way
"Edward de Denestraat",wikidata,M,Q3048298,way
"Emile Cousindok",wikidata,M,Q60234102,way
"Emmanuel de Neckerestraat",wikidata,M,Q77577467,way
"Eugeen Van Steenkistestraat",wikidata,M,Q57197744,way
"Felix Timmermanstraat",wikidata,M,Q713284,way
"Filips de Goedelaan",wikidata,M,Q239337,way
Fosterpark,wikidata,M,Q2294213,way
"Francois Pauwelsstraat",wikidata,M,Q2236541,way
"Francois Versluysstraat",wikidata,M,Q2643909,way
"Frans Gevaertstraat",wikidata,M,Q682376,way
"Generaal Lemanlaan",wikidata,M,Q277876,way
"Gerard Davidstraat",wikidata,M,Q333380,way
"Graaf Boudewijn I-laan",wikidata,M,Q378271,way
"Graaf Visartpark",wikidata,M,Q1280942,way
Greenhillstraat,wikidata,M,Q91135758,way
"Guido Gezellelaan",wikidata,M,Q336977,way
"Guido Gezelleplein",wikidata,M,Q336977,way
"Gustave Vincke Dujardinstraat",wikidata,M,Q78692494,way
"Hans Memlinglaan",wikidata,M,Q106851,way
"Hendrik Consciencelaan",wikidata,M,Q378133,way
"Hendrik Waelputstraat",wikidata,M,Q2453577,way
"Hervé Stalpaertstraat",wikidata,M,Q55824604,way
"Hugo Losschaertstraat",wikidata,M,Q84850761,way
"Hugo Verrieststraat",wikidata,M,Q981444,way
"Jacob Van Maerlantstraat",wikidata,M,Q1393906,way
"Jacob de Meyerestraat",wikidata,M,Q2745910,way
