name,gender,wikidata,type
Aandenkooi,,Q20675,way
"Acht Zaligheden",,Q51643,way
Beenhouwersstraat,,Q329737,way
Begoniastraat,,Q158617,way
Berkenpad,,Q25243,way
Berkenstraat,,Q25243,way
"Blankenbergse Dijk",,Q2648030,way
"Blankenbergse Dijk Zuid",,Q2648030,way
Bosstraat,,Q4421,way
Bremlaan,,Q145781,way
"Brugse Steenweg",,Q12994,way
Brugse-Mettenstraat,,Q850188,way
Brugsesteenweg,,Q12994,way
"De Klokke-Noord",,Q2650907,way
"De Klokke-Zuid",,Q2650907,way
Dopheidestraat,,Q206998,way
Elf-Julistraat,,Q277589,way
Elzenstraat,,Q25239,way
Esperantostraat,,Q143,way
Gagelstraat,,Q161681,way
"Graaf Jansdijk",,Q3027864,way
Gruuthusestraat,,Q2012173,way
Hamiltonpark,,Q3455451,way
Heidelaan,,Q27590,way
Hullstraat,,Q128147,way
Kapelstraat,,Q108325,way
Kastanjeboomstraat,,Q129324,way
Lauwerstraat,,Q19963838,way
Leeuwenbrug,,Q2878057,way
Leeuwstraat,,Q2878057,way
Lissewegestraat,,Q1924402,way
Manitobalaan,,Q4548865,way
Meidoornstraat,,Q132557,way
Paardenmarktstraat,,Q2179123,way
Peperstraat,,Q37516849,way
Rozenstraat,,Q34687,way
Sint-Jansdreef,,Q924932,way
Sint-Jorisstraat,,Q48438,way
Slachthuisstraat,,Q385557,way
"Tien Geboden",,Q34623,way
"Tijl Uilenspiegelstraat",,Q164083,way
Tramstraat,,Q3407658,way
Tulpenstraat,,Q93201,way
Vindictivestraat,,Q1565676,way
Wilgenstraat,,Q158487,way
Zevensterrestraat,,Q13423,way
's-Gravenstraat,,,way
"'s-Heer Boudewijnburg",,,way
"'t Groeneveld",,,way
"'t Groenhof",,,way
"'t Hoge",,,way
"'t Kloosterhof",,,way
"'t Leitje",,,way
"'t Pand",,,way
"'t Speelhof",,,way
"'t Veld",,,way
"'t Zand",,,relation
"'t Zweerd",,,way
18-Oktoberstraat,,,way
"A.J. Witteryckstraat",,,way
Aanborgersstraat,,,way
Aardenburgseweg,,,way
Abdijbekepark,,,way
Abdijbekestraat,,,way
Abdijenroute,,,way
Abelendreef,,,way
Academiestraat,,,way
"Adriaan de Gerlachestraat",,,way
Akkerstraat,,,way
"Albert II-laan",,,way
"Alfons De Baeckestraat",,,way
